,business_id,categories,city,full_address,latitude,longitude,name,neighborhoods,open,photo_url,review_count,schools,stars,state,type,url
25,fRYyVkbsiUntbUTCItwVeA,"[Food, Beer, Wine & Spirits]",Philadelphia,"600 Schuylkill Ave
Graduate Hospital
Philadelphia, PA 19146",39.945448,-75.1856104,Springfield Beer Distributor,[Graduate Hospital],True,http://s3-media1.ak.yelpcdn.com/bphoto/Az1L7tkC4nbJpahfoSGOOg/ms.jpg,11,[University of Pennsylvania],4.0,PA,business,http://www.yelp.com/biz/springfield-beer-distributor-philadelphia
26,JY576sTpB3ljay2IAajZ2w,"[Food, Grocery, Delis, Restaurants]",New York,"2892 Broadway
Morningside Heights
New York, NY 10025",40.805698,-73.9652725,Milano Market,[Morningside Heights],True,http://s3-media2.ak.yelpcdn.com/bphoto/PkHsY8-SoLvHISDqU95RDg/ms.jpg,76,[Columbia University],4.0,NY,business,http://www.yelp.com/biz/milano-market-new-york
28,X9OB8N7ZlmMlncHzeO_pmg,"[Food, Shopping, Books, Mags, Music and Video, Internet Cafes, Bookstores]",Lafayette,"1538 Main St
Lafayette, IN 47905",40.417601,-86.878051,Buy the Book,[],True,http://s3-media4.ak.yelpcdn.com/bphoto/uJcfqUl17CngJNDzGN_VlA/ms.jpg,3,[Purdue University],3.0,IN,business,http://www.yelp.com/biz/buy-the-book-lafayette
31,WC6y30BJZ8CLjJXDL_jaKg,"[Soul Food, Restaurants]",Pittsburgh,"305 N Craig St
Oakland
Pittsburgh, PA 15213",40.45204,-79.952323,T & K's Soul Food Kitchen,[Oakland],True,http://s3-media1.ak.yelpcdn.com/bphoto/fdpHwVCv8AbghmS2JERoug/ms.jpg,6,[Carnegie Mellon University],4.0,PA,business,http://www.yelp.com/biz/t-and-ks-soul-food-kitchen-pittsburgh
33,oB0ogXCEgNOv1qPdDXUtnQ,"[Bars, American (New), Nightlife, Lounges, Restaurants]",Lafayette,"133 N 4th St
Lafayette, IN 47901",40.4184624856,-86.8867492676,Avidity Restaurant Ultra Lounge,[],True,http://s3-media1.ak.yelpcdn.com/bphoto/Yd4kcut1-3urS22gR3YkFg/ms.jpg,6,[Purdue University],3.0,IN,business,http://www.yelp.com/biz/avidity-restaurant-ultra-lounge-lafayette
36,xbEoDp0TttnIl7BiNJWVUQ,"[Mongolian, Restaurants]",Lafayette,"The Pavillions
100 S Creasy Lane
Lafayette, IN 47905",40.4165649,-86.84244,HuHot Mongolian Grill,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/kDkiFkPVc-fWDN3nzn8Pew/ms.jpg,5,[Purdue University],3.5,IN,business,http://www.yelp.com/biz/huhot-mongolian-grill-lafayette-2
40,cgoq8ACyJrSG1OBWcsKEUA,"[Thai, Restaurants]",Upland,"922 N Central Ave
Upland, CA 91786",34.1054373,-117.6896847,Srida Thai Cuisine,[],True,http://s3-media1.ak.yelpcdn.com/bphoto/jfpHkMO074luhL8S50jz4Q/ms.jpg,32,[Harvey Mudd College],4.0,CA,business,http://www.yelp.com/biz/srida-thai-cuisine-upland
41,oidBvZouxEal1NWe5ARrVw,"[Indian, Restaurants]",Ithaca,"410 Eddy St
Ithaca, NY 14850",42.4420028,-76.4875033,Mehak Cuisine,[],True,http://s3-media4.ak.yelpcdn.com/bphoto/H6uTFeNejggG_tskr4Dm0w/ms.jpg,14,[Cornell University],3.5,NY,business,http://www.yelp.com/biz/mehak-cuisine-ithaca
42,dlN9tXw24o4gcREvSGNkgQ,"[Nightlife, Bars, Pizza, Sports Bars, Restaurants]",Atlanta,"1005 Hemphill Ave NW
Georgia Tech
Atlanta, GA 30318",33.7819259,-84.4043175,Rocky Mountain Pizza Company,"[Georgia Tech, Westside / Home Park]",True,http://s3-media3.ak.yelpcdn.com/bphoto/2H7keYecxZ9bZ48jaqKr_A/ms.jpg,93,[Georgia Institute of Technology],3.0,GA,business,http://www.yelp.com/biz/rocky-mountain-pizza-company-atlanta
43,MnThD5q-m9oLigW5SoWMJQ,"[Mediterranean, Restaurants]",Pittsburgh,"4757 Baum Blvd
Bloomfield
Pittsburgh, PA 15213",40.4543642,-79.9481151,Khalil's,[Bloomfield],True,http://s3-media2.ak.yelpcdn.com/bphoto/W2DylDel2Q_Fd-kXHmipwA/ms.jpg,3,[Carnegie Mellon University],3.5,PA,business,http://www.yelp.com/biz/khalils-pittsburgh
44,3k4K6l7SP7B4fzq9KpHy0A,"[Italian, Pizza, Restaurants]",Chapel Hill,"607 W Franklin St
Chapel Hill, NC 27516",35.9117188,-79.059954,Papa John's Pizza,[],True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3,[University of North Carolina - Chapel Hill],3.5,NC,business,http://www.yelp.com/biz/papa-johns-pizza-chapel-hill
46,EHMx2IhI-_ooHQo0N-AnHA,"[Bars, American (New), Nightlife, Lounges, Restaurants]",New York,"2163 Frederick Douglass Blvd
Harlem
New York, NY 10026",40.804769,-73.9551352,Svntn Below,[Harlem],False,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,4,[Columbia University],3.0,NY,business,http://www.yelp.com/biz/svntn-below-new-york
48,Lp32rSc3OATt1P0Upa4Jxg,"[Greek, Mediterranean, Restaurants]",West Lafayette,"Cortez & US 52
West Lafayette, IN 47906",40.4676551,-86.9425982,Parthenon Greek American Grill,[],True,http://s3-media4.ak.yelpcdn.com/bphoto/VGqzKXtMVlM_Hk3vqO1XYw/ms.jpg,22,[Purdue University],3.5,IN,business,http://www.yelp.com/biz/parthenon-greek-american-grill-west-lafayette
52,PBqjmOB7Yjti3cFqy8-Ctw,"[Cafes, Sandwiches, Restaurants]",Stanford,"Cubberley Education Building
485 Lasuen Mall
Stanford, CA 94305",37.426398,-122.16836,Cubberley Cafe,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/cymSVOW-Mn4c4j9wSJ-V4A/ms.jpg,10,[Stanford University],3.5,CA,business,http://www.yelp.com/biz/cubberley-cafe-stanford
54,81IjU5L-t-QQwsE38C63hQ,"[Burgers, Gastropubs, Restaurants]",Claremont,"128 N Oberlin Ave
Claremont, CA 91711",34.0948841,-117.7206854,The Back Abbey,[],True,http://s3-media4.ak.yelpcdn.com/bphoto/19sYSVQKzDIHEJDOJlgMPA/ms.jpg,756,[Harvey Mudd College],4.0,CA,business,http://www.yelp.com/biz/the-back-abbey-claremont
58,LaW34gZqLnWjiWF8pl-tvg,"[Chicken Wings, Restaurants]",College Park,"8145 Baltimore Ave
College Park, MD 20740",38.990908,-76.932757,EveryWing's Good,[],True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3,[University of Maryland - College Park],4.5,MD,business,http://www.yelp.com/biz/everywings-good-college-park
59,gclB3ED6uk6viWlolSb_uA,"[Cafes, Restaurants]",Berkeley,"2400 Durant Ave
Telegraph Ave
Berkeley, CA 94701",37.867417,-122.260408,Cafe 3,"[Telegraph Ave, UC Campus Area]",True,http://s3-media1.ak.yelpcdn.com/bphoto/AaHq1UzXiT6zDBUYrJ2NKA/ms.jpg,9,[University of California at Berkeley],2.0,CA,business,http://www.yelp.com/biz/cafe-3-berkeley
61,G3-STn8vhQXsPObIqlBGPw,"[Hotels & Travel, Restaurants, Event Planning & Services, Hotels]",Ithaca,"2310 N Triphammer Rd
Ithaca, NY 14850",42.4827916,-76.4858911,Ramada Inn-Ithaca-Airport,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/f_u8GzDjfXhyePVsYEqA3A/ms.jpg,10,[Cornell University],2.5,NY,business,http://www.yelp.com/biz/ramada-inn-ithaca-airport-ithaca
63,3WFnzu8D6S_T7guXZIOp7A,"[Food, Coffee & Tea, Cafes, Restaurants]",Waterloo,"187 King Street South
Waterloo, ON N2J 1R1",43.4593947,-80.5190295,The Bauer Bakery & Cafe,[],True,http://s3-media1.ak.yelpcdn.com/bphoto/v9cbYOGD14tm6qwq9HW4oA/ms.jpg,2,[University of Waterloo],3.5,ON,business,http://www.yelp.ca/biz/the-bauer-bakery-and-cafe-waterloo
67,VE4Vi52enwiPz8SCCSHBxA,"[Food, Bagels]",Claremont,"911 W Foothill Blvd
Claremont, CA 91711",34.1071258,-117.7314746,Tasty Bagel Cafe,[],False,http://s3-media3.ak.yelpcdn.com/bphoto/QBEaZbnHildcFdJqjz-TtA/ms.jpg,3,[Harvey Mudd College],4.5,CA,business,http://www.yelp.com/biz/tasty-bagel-cafe-claremont
70,cWC1aSv6ql0nBzHX_0a6MQ,"[Delis, Restaurants]",Los Angeles,"10833 Le Conte Avenue
Westwood
Los Angeles, CA 90095",34.0660655,-118.4419674,UCLA Medical Center Cafeteria,[Westwood],True,http://s3-media2.ak.yelpcdn.com/bphoto/1Dw87PObPCZ_KyHZ2o_qog/ms.jpg,12,[University of California - Los Angeles],3.5,CA,business,http://www.yelp.com/biz/ucla-medical-center-cafeteria-los-angeles
72,BJKIoQa5N2T_oDlLVf467Q,"[Thai, Restaurants]",Berkeley,"1805 Euclid Ave
UC Campus Area
Berkeley, CA 94709",37.8759615,-122.2602981,Jasmine Thai,[UC Campus Area],True,http://s3-media2.ak.yelpcdn.com/bphoto/ZwTUUb-6jkuzMDBBsUV6Eg/ms.jpg,52,[University of California at Berkeley],3.0,CA,business,http://www.yelp.com/biz/jasmine-thai-berkeley
76,cmTtaP3LeApvz61W94Lvhg,"[Gastropubs, Restaurants, Hot Dogs]",Chapel Hill,"169 E Franklin St
Chapel Hill, NC 27514",35.9140205383,-79.0535888672,Hot Dogs & Brew,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/jT_2Lp_32awSQXwyHrUTyg/ms.jpg,2,[University of North Carolina - Chapel Hill],5.0,NC,business,http://www.yelp.com/biz/hot-dogs-and-brew-chapel-hill
78,n9KSfii0GCOJOhDJLAXJ7Q,"[Breakfast & Brunch, Diners, Restaurants]",Troy,"294 N Greenbush Rd
Troy, NY 12180",42.679212,-73.691,Alexi's Diner,[],True,http://s3-media2.ak.yelpcdn.com/bphoto/nMiBBlZ0xKZNe7IYNpq7eg/ms.jpg,24,[Rensselaer Polytechnic Institute],3.5,NY,business,http://www.yelp.com/biz/alexis-diner-troy
79,9m5s_UB5SZCz56hrONB43Q,"[Asian Fusion, Restaurants]",College Park,"8147 Baltimore Ave
College Park, MD 20740",38.9913538,-76.9335627,Pho D'Lite,[],True,http://s3-media1.ak.yelpcdn.com/bphoto/eVT6g42QpzhX7naKjTA2rw/ms.jpg,10,[University of Maryland - College Park],4.0,MD,business,http://www.yelp.com/biz/pho-d-lite-college-park
82,8SqxzaPVVBTIxrbJKZwDxg,"[Food Stands, Japanese, Restaurants]",Austin,"2906 Fruth St
University of Texas
Austin, TX 78705",30.295368,-97.742054,Love Balls,[University of Texas],True,http://s3-media4.ak.yelpcdn.com/bphoto/MmfyATHEGjyV8yEQ7TlYvg/ms.jpg,96,[University of Texas - Austin],4.0,TX,business,http://www.yelp.com/biz/love-balls-austin
83,8lLs3dsSN-Am2_EtNfbXqA,"[Breakfast & Brunch, American (New), Restaurants]",New York,"2893 Broadway
Morningside Heights
New York, NY 10025",40.8057975769,-73.965675354,Community Food & Juice,[Morningside Heights],True,http://s3-media2.ak.yelpcdn.com/bphoto/IqKj8kMJEe8nyOeIuGRpoA/ms.jpg,346,[Columbia University],3.5,NY,business,http://www.yelp.com/biz/community-food-and-juice-new-york
87,hGbtJYVdJ-EYSgXdGvps6g,"[Diners, Restaurants]",Princeton,"1217 US Hwy 206 N
Princeton, NJ 08540",40.400431,-74.6510141,Red Oak Diner & Bakery,[],True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,9,[Princeton University],3.5,NJ,business,http://www.yelp.com/biz/red-oak-diner-and-bakery-princeton
89,dpqv-Gy6RLXXGnNrGZjOYw,"[Pizza, Restaurants]",Ithaca,"840 Hanshaw Rd Ste 2
Ithaca, NY 14850",42.469234,-76.478911,Ned's Pizza,[],True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,4,[Cornell University],4.5,NY,business,http://www.yelp.com/biz/neds-pizza-ithaca-2
90,NZ3A0xYdnmIG68mZeZV6AA,"[Dive Bars, Bars, American (Traditional), Nightlife, Restaurants]",Urbana,"119 W Water St
Urbana, IL 61801",40.1132,-88.208287,Bunny's Tavern,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/kWCkkAC24c6jso12iFERbQ/ms.jpg,13,[University of Illinois - Urbana-Champaign],4.0,IL,business,http://www.yelp.com/biz/bunnys-tavern-urbana
95,2b6BvccVTtPwElQreRtFYw,"[Bars, Sports Bars, Nightlife, Gastropubs, Tex-Mex, Restaurants]",Philadelphia,"3900 Chestnut St
University City
Philadelphia, PA 19104",39.9549304,-75.2001318,Drinker's West,[University City],True,http://s3-media2.ak.yelpcdn.com/bphoto/QYPxp6makPzLLoJg7OT6Kw/ms.jpg,61,[University of Pennsylvania],3.5,PA,business,http://www.yelp.com/biz/drinkers-west-philadelphia
97,T6YKL1wsPRfRhvseX9uNyQ,"[Food, Doctors, Health and Medical, Naturopathic/Holistic, Tea Rooms]",Pasadena,"1005 E Green St
Pasadena
Pasadena, CA 91106",34.1445837,-118.1293325,Chassom Tea Salon,[Pasadena],False,http://s3-media2.ak.yelpcdn.com/bphoto/ksW4SYFBTpkTKDITZls7Ng/ms.jpg,4,[California Institute of Technology],5.0,CA,business,http://www.yelp.com/biz/chassom-tea-salon-pasadena
98,oMWoEXLdPEn5HKyQR4-Ssg,"[Food, Street Vendors]",Austin,"610 W Martin Luther King Jr Blvd
West Campus
Austin, TX 78705",30.282815,-97.744746,Moses Falafel,"[West Campus, University of Texas]",True,http://s3-media1.ak.yelpcdn.com/bphoto/2gZvEZlS0RaHKBUiYy1Jgg/ms.jpg,18,[University of Texas - Austin],4.5,TX,business,http://www.yelp.com/biz/moses-falafel-austin
100,kXC-xNb0P3kq7GOaGrazKw,"[Cafes, Restaurants]",Upland,"922 N Central Ave
Upland, CA 91786",34.1054373,-117.6896847,Jouni's Cafe,[],True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,[Harvey Mudd College],4.5,CA,business,http://www.yelp.com/biz/jounis-cafe-upland
102,FfhOTfIUtMpMTj26EqQg8Q,"[Food, Donuts]",College Park,"7313 Baltimore Ave
College Park, MD 20740",38.97974,-76.937606,Fractured Prune,[],False,http://s3-media2.ak.yelpcdn.com/bphoto/qcdYHa-eqfZEjqDwHWujlg/ms.jpg,5,[University of Maryland - College Park],4.0,MD,business,http://www.yelp.com/biz/fractured-prune-college-park
109,UJw-KnIdnzwbvxzNvIUhgw,"[Fast Food, Restaurants]",Philadelphia,"203 N 34th St
Powelton Village
Philadelphia, PA 19104",39.95915,-75.190296,Currito,[Powelton Village],True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,8,[University of Pennsylvania],3.0,PA,business,http://www.yelp.com/biz/currito-philadelphia
113,yiR4dDit58T8pYg1GMvO3Q,"[Food, Ice Cream & Frozen Yogurt]",New York,"2873 Broadway
Morningside Heights
New York, NY 10025",40.8053032,-73.9660115,Pinkberry,[Morningside Heights],True,http://s3-media1.ak.yelpcdn.com/bphoto/QuBZBKQnSho0wUhHBCPCCA/ms.jpg,53,[Columbia University],3.5,NY,business,http://www.yelp.com/biz/pinkberry-new-york-6
114,-ZfUYXTphJdZuBTbfodP3Q,"[Creperies, Restaurants]",Claremont,"540 W 1st St
Claremont, CA 91711",34.0944671631,-117.721389771,Crepes de Paris,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/HGbRTC8l07XG4eCHZ-5e6w/ms.jpg,6,[Harvey Mudd College],4.0,CA,business,http://www.yelp.com/biz/crepes-de-paris-claremont
119,W-RJfufcf-GtIPrdyrJ6pQ,"[Food, Ice Cream & Frozen Yogurt, Coffee & Tea]",Providence,"178 Angell St
College Hill
Providence, RI 02918",41.8281263,-71.4006111,roba!dolce,[College Hill],False,http://s3-media2.ak.yelpcdn.com/bphoto/qKyhBpkC8dHJ1daizQiz2w/ms.jpg,5,[Brown University],2.0,RI,business,http://www.yelp.com/biz/roba-dolce-providence
122,7sBIv30fhszkBsv0kkSBCg,"[Tex-Mex, Restaurants]",Seattle,"2614 NE 46th St
University Village
University District
Seattle, WA 98105",47.6617333,-122.2992767,Sonrisa,[University District],True,http://s3-media1.ak.yelpcdn.com/bphoto/qvFsHdP4VT6wiBv0p0AEyQ/ms.jpg,120,[University of Washington],3.0,WA,business,http://www.yelp.com/biz/sonrisa-seattle
123,IU9j37tFH_Dg_8rLkuqDSQ,"[Bars, Greek, Mediterranean, Wine Bars, Nightlife, Restaurants]",Waterloo,"83 Erb St W
Waterloo, ON N2L 6C2",43.463366,-80.5273068,Sole Restaurant & Wine Bar,[],True,http://s3-media1.ak.yelpcdn.com/bphoto/34QVlikePPvqeWh1FUYl6w/ms.jpg,6,[University of Waterloo],4.0,ON,business,http://www.yelp.ca/biz/sole-restaurant-and-wine-bar-waterloo
125,_VVitWVj4AvzqV91O6c1Mw,"[Sandwiches, Restaurants]",Berkeley,"2442 Telegraph Ave
Telegraph Ave
Berkeley, CA 94704",37.8661098,-122.2586637,Cafe Mattina,"[Telegraph Ave, UC Campus Area]",False,http://s3-media1.ak.yelpcdn.com/bphoto/x9d4rPQDYqM9vXMgW1kxtw/ms.jpg,163,[University of California at Berkeley],4.0,CA,business,http://www.yelp.com/biz/cafe-mattina-berkeley
126,yuMPHKwfxWeaDjjNzSGESA,"[Pizza, Restaurants]",Pittsburgh,"4635 Centre Ave
Oakland
Pittsburgh, PA 15213",40.4523237,-79.9507118,Pesaro's Pizza,[Oakland],False,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,[Carnegie Mellon University],3.0,PA,business,http://www.yelp.com/biz/pesaros-pizza-pittsburgh-2
128,xkX9SUlI27BDuliNOcuMbg,"[Diners, Restaurants]",Lafayette,"501 Columbia St
Lafayette, IN 47901",40.418049,-86.891641,Sunrise Diner,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/-bzdctSkqlFsTWmSGdzz9w/ms.jpg,21,[Purdue University],3.5,IN,business,http://www.yelp.com/biz/sunrise-diner-lafayette
129,xwyJUcRY0hNlLY0PDqZhlA,"[Breakfast & Brunch, Pizza, Restaurants]",Carrboro,"Carr Mill Mall
Carrboro, NC 27510",35.9115719576,-79.071875923,Panzanella,[],True,http://s3-media2.ak.yelpcdn.com/bphoto/RrPO5UZ4Zl4YXuLJl47rtw/ms.jpg,47,[University of North Carolina - Chapel Hill],3.5,NC,business,http://www.yelp.com/biz/panzanella-carrboro
132,y-rxr2D4UEcWK0uRwKNLEg,"[Coffee & Tea, Bars, Food, Japanese, Nightlife, Restaurants]",Seattle,"4527 University Way NE
University District
Seattle, WA 98105",47.6621044,-122.3131101,Lounjin,[University District],False,http://s3-media2.ak.yelpcdn.com/bphoto/mAyg8MyttYEeqICll-kkuQ/ms.jpg,15,[University of Washington],4.0,WA,business,http://www.yelp.com/biz/lounjin-seattle
135,dPIsxsqE22IZ-R43NalT0g,"[Restaurants, Vietnamese]",Hadley,"206 Russell St
Hadley, MA 01035",42.3445618,-72.5778732,Banh Mi Saigon,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/E1T6qJUEwUghIJeETJf_iQ/ms.jpg,30,[University of Massachusetts - Amherst],4.5,MA,business,http://www.yelp.com/biz/banh-mi-saigon-hadley
138,oEP8EQRxILT8svJmALwh6w,"[Seafood, American (Traditional), Restaurants]",Ithaca,"525 Taughannock Blvd
Ithaca, NY 14850",42.445768,-76.512604,The BoatYard Grill,[],True,http://s3-media4.ak.yelpcdn.com/bphoto/NP3iv_QYh5ZyWN9RRdMUyA/ms.jpg,44,[Cornell University],3.0,NY,business,http://www.yelp.com/biz/the-boatyard-grill-ithaca
140,h2YIIoZC9uYmgpn4vT7Zng,"[Specialty Food, Food, Chocolatiers and Shops]",San Luis Obispo,"1445 Monterey St
San Luis Obispo, CA 93401",35.2856762,-120.6552358,Mama Ganache Artisan Chocolates,[],True,http://s3-media1.ak.yelpcdn.com/bphoto/WyyXiJTMOChxErcazTY5yQ/ms.jpg,16,[California Polytechnic State University],4.5,CA,business,http://www.yelp.com/biz/mama-ganache-artisan-chocolates-san-luis-obispo
145,XrqownLHKAzfQwJl-spFeQ,"[Japanese, Restaurants]",Waterloo,"55 Northfield Dr E
Waterloo, ON N2K 3T6",43.5034294,-80.5284966,Yummyaki Japanese Restaurant,[],True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,6,[University of Waterloo],4.0,ON,business,http://www.yelp.ca/biz/yummyaki-japanese-restaurant-waterloo
146,T1ugJiVm210G_4QvmQCz1g,"[Vegetarian, Restaurants]",College Park,"5010 Berwyn Rd
College Park, MD 20740",38.994807,-76.9258282,Berwyn Cafe,[],False,http://s3-media4.ak.yelpcdn.com/bphoto/By_cqtjaf7i24hD90mIUKg/ms.jpg,22,[University of Maryland - College Park],4.0,MD,business,http://www.yelp.com/biz/berwyn-cafe-college-park
147,PyIJ8OEfltYaHWJaIwUF2Q,"[American (Traditional), Restaurants]",Seattle,"2630 NE University Village St
University District
Seattle, WA 98105",47.663277,-122.3007475,Grace Kitchen,[University District],False,http://s3-media1.ak.yelpcdn.com/bphoto/ZFVUT9S7_pPBfqEn3CEafA/ms.jpg,125,[University of Washington],2.5,WA,business,http://www.yelp.com/biz/grace-kitchen-seattle
148,Mg1CS5aRT_eV4qaGpEvnIQ,"[Pizza, Restaurants]",La Jolla,"3363 Nobel Dr
La Jolla, CA 92037",32.8679865,-117.2306384,California Pizza Kitchen,[],True,http://s3-media2.ak.yelpcdn.com/bphoto/qeGNcAPb1agpoE2ZSNNGFw/ms.jpg,152,[University of California - San Diego],3.0,CA,business,http://www.yelp.com/biz/california-pizza-kitchen-la-jolla
158,kKFUNcLklJ54zZNUk-7yjQ,"[Food, Desserts, American (New), Restaurants]",Pittsburgh,"1922 Murray Ave
Squirrel Hill
Pittsburgh, PA 15217",40.435293,-79.923154,Gullifty's Restaurant,[Squirrel Hill],True,http://s3-media1.ak.yelpcdn.com/bphoto/rlhjDiGDyfHjHYiVqeq_jg/ms.jpg,51,[Carnegie Mellon University],3.0,PA,business,http://www.yelp.com/biz/gulliftys-restaurant-pittsburgh
160,khdkBG4SetzbtvkGZpyGTQ,"[Delis, Restaurants]",Austin,"500 W Martin Luther King Jr Bl
Ste A
West Campus
Austin, TX 78701",30.2822093964,-97.7433776855,Subway,"[West Campus, University of Texas]",True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,[University of Texas - Austin],3.0,TX,business,http://www.yelp.com/biz/subway-austin-35
164,7AlULGZI1pHt0imODsqdkg,"[Sandwiches, Restaurants]",Champaign,"501 E Green
Champaign, IL 61820",40.1100629,-88.231789,Potbelly Sandwich Works,[],True,http://s3-media2.ak.yelpcdn.com/bphoto/kdVy5cPr4S9fM_Qo6dDx4Q/ms.jpg,17,[University of Illinois - Urbana-Champaign],4.5,IL,business,http://www.yelp.com/biz/potbelly-sandwich-works-champaign
